house_size_sqft,house_age_years,num_bathrooms,distance_to_center_miles,neighborhood_score,price_thousands
2133.0,15.8,3.0,3.6,4.4,331.38
2512.0,1.7,2.5,1.8,7.9,372.2
3861.0,16.1,2.0,3.2,9.3,511.5
1639.0,50.0,2.5,6.5,8.0,310.01
1337.0,0.7,1.5,8.2,7.1,285.49
1267.0,50.0,2.0,16.1,5.2,213.17
1305.0,7.8,1.0,5.4,8.9,286.18
1753.0,30.7,2.0,11.9,9.1,338.32
2072.0,22.9,2.0,4.3,6.6,296.7
2020.0,12.6,1.5,4.8,4.9,263.48
2517.0,20.1,3.5,4.6,7.3,433.64
1817.0,31.6,3.5,5.9,7.5,387.21
3234.0,7.8,2.5,9.2,7.5,444.08
1626.0,5.9,2.0,3.4,8.4,329.34
5000.0,16.5,3.0,2.3,5.3,478.42
2322.0,24.7,1.0,9.7,6.3,290.23
1283.0,21.6,2.5,9.2,9.1,321.14
1178.0,24.0,1.0,13.1,5.9,234.46
2193.0,8.6,2.5,3.0,6.0,320.3
1653.0,25.5,1.5,4.2,5.4,253.33
2406.0,1.9,3.0,9.9,8.0,411.94
2185.0,11.8,3.5,3.4,6.3,374.02
1756.0,0.1,1.0,7.9,3.8,282.63
1289.0,5.9,2.0,4.3,8.8,327.76
986.0,6.8,4.0,6.4,6.3,353.75
1512.0,7.6,2.0,1.7,7.3,329.78
2547.0,17.8,3.0,5.3,7.2,395.57
1970.0,7.4,2.0,11.3,6.0,303.53
1099.0,8.9,2.0,8.7,8.7,323.32
1938.0,4.1,1.5,2.2,8.7,359.53
2109.0,7.0,1.5,15.3,6.4,320.93
1270.0,3.9,2.5,10.8,7.0,304.85
1923.0,1.1,2.0,1.8,6.9,330.48
1851.0,13.9,2.0,3.2,7.1,293.14
1145.0,16.5,2.0,1.9,6.9,261.44
2086.0,14.5,2.0,6.5,6.7,341.63
2263.0,9.3,3.0,3.1,7.4,413.98
2788.0,7.2,4.0,0.6,8.2,533.43
2756.0,29.9,2.0,4.7,7.3,356.23
1042.0,11.0,3.0,9.4,9.1,352.32
1242.0,9.8,2.5,5.4,6.3,271.34
2222.0,0.4,2.0,7.4,8.3,402.42
2221.0,6.3,3.5,5.8,7.0,418.04
2222.0,7.2,1.5,8.4,6.9,328.79
5000.0,7.6,1.0,6.2,7.9,522.14
2272.0,13.0,3.0,4.5,8.0,395.88
2848.0,11.4,2.0,5.4,8.5,393.49
2648.0,14.0,3.0,13.5,7.8,416.32
2346.0,21.7,3.0,7.7,8.2,397.38
1594.0,25.1,1.0,2.1,8.0,342.19
2449.0,19.0,3.0,5.3,9.1,442.83
1327.0,46.7,2.0,6.4,7.8,268.25
1645.0,0.3,2.0,4.4,7.6,336.51
1489.0,3.3,2.5,0.7,6.4,304.74
1868.0,0.1,3.5,2.4,6.5,406.23
4564.0,15.6,1.0,3.6,5.6,416.45
857.0,34.2,2.0,16.5,7.2,243.36
2379.0,4.2,2.5,7.1,4.6,354.32
949.0,39.3,2.5,1.1,4.1,224.73
1497.0,0.9,2.5,4.6,5.3,310.13
2795.0,40.9,1.0,12.1,8.8,371.15
1855.0,6.5,1.5,3.1,8.6,339.33
1175.0,1.6,2.0,10.2,8.0,330.56
1358.0,10.0,3.0,1.1,5.1,305.09
2373.0,4.5,1.5,0.5,6.1,348.68
1350.0,5.0,1.5,11.2,8.5,266.16
1972.0,5.5,3.5,3.4,7.7,417.68
1841.0,24.4,1.0,3.6,8.3,323.78
1393.0,11.6,4.0,5.8,8.1,385.18
4262.0,5.6,2.5,6.9,6.2,454.54
2330.0,14.1,3.0,0.5,8.3,439.77
804.0,18.9,1.5,2.9,8.8,227.76
1948.0,4.8,1.0,5.2,9.0,366.41
1388.0,8.0,2.5,6.9,6.8,297.24
2543.0,1.9,3.0,2.1,5.9,406.07
1317.0,3.0,2.5,4.2,8.1,320.14
1727.0,17.1,1.0,3.1,9.1,328.77
2213.0,3.0,2.5,5.9,6.2,400.47
2556.0,11.2,2.5,11.0,7.9,407.04
1119.0,18.5,2.5,3.8,7.2,271.11
1582.0,1.7,2.5,1.3,8.6,396.71
1495.0,12.6,3.0,2.7,6.6,328.46
1392.0,4.4,2.5,15.2,8.6,355.72
3664.0,49.4,1.0,2.4,8.7,441.3
2126.0,9.9,2.0,1.6,6.7,299.87
1092.0,24.6,1.0,3.6,4.6,181.44
2610.0,12.0,2.0,4.6,7.9,401.41
4225.0,0.7,2.0,3.2,6.7,487.57
2733.0,15.0,1.0,1.1,5.0,303.54
985.0,45.4,2.0,6.4,8.6,249.12
1490.0,13.8,1.0,5.9,7.1,240.95
3001.0,25.7,3.0,8.2,8.7,451.11
1362.0,32.3,3.5,5.8,7.8,382.47
2159.0,3.9,1.0,14.4,8.4,360.06
2465.0,3.6,3.5,8.6,4.0,411.55
1248.0,14.2,2.0,7.5,7.2,287.76
1766.0,7.9,1.5,11.2,9.3,354.44
500.0,27.5,1.0,5.6,6.3,193.05
1200.0,34.5,2.0,4.3,7.4,271.41
1634.0,6.5,2.5,6.3,6.3,315.2
1098.0,4.1,2.5,0.6,9.0,356.57
3474.0,22.7,1.0,5.6,6.5,394.95
1020.0,4.8,1.0,4.6,7.0,240.28
1516.0,25.9,2.0,6.8,7.8,286.06
1905.0,8.3,1.5,10.2,7.4,318.19
3218.0,16.5,1.5,7.6,5.6,364.16
1018.0,1.5,1.5,2.7,7.6,295.06
2879.0,14.7,3.0,9.1,4.6,345.8
1815.0,9.0,3.5,14.5,8.8,438.67
1221.0,13.3,2.0,10.4,9.3,293.63
2175.0,2.8,3.5,1.5,6.8,427.61
1958.0,20.0,2.0,7.6,8.8,335.58
1422.0,29.8,2.0,1.7,8.4,348.56
1859.0,3.7,1.5,4.0,7.6,338.54
1550.0,1.5,2.5,6.7,8.2,347.07
1892.0,0.4,4.0,6.0,4.8,425.68
2356.0,15.4,2.5,10.3,5.9,352.03
3410.0,14.0,2.0,14.5,8.0,422.52
1102.0,11.9,2.5,7.2,5.1,264.15
4244.0,4.0,1.0,3.7,6.0,415.01
828.0,7.4,3.0,0.7,6.1,281.06
1702.0,13.5,2.0,12.0,8.1,289.56
2288.0,10.3,2.0,4.7,8.3,356.32
2023.0,50.0,2.0,4.9,8.0,356.93
1409.0,2.2,2.5,5.2,3.8,300.82
1664.0,17.8,1.0,6.9,6.9,274.66
1484.0,7.8,2.5,7.1,6.9,339.14
1428.0,8.4,1.5,4.0,9.4,320.1
2540.0,19.0,2.5,4.6,7.5,382.9
2086.0,17.7,3.0,3.0,7.7,388.29
1370.0,50.0,3.0,2.7,6.9,307.23
2591.0,2.1,2.0,2.7,8.6,422.52
2045.0,1.6,2.0,4.6,7.8,389.65
2503.0,19.3,1.0,2.3,7.0,339.89
2326.0,13.0,2.5,0.5,7.9,409.93
1298.0,4.8,1.5,3.7,7.4,303.35
1445.0,1.2,2.0,1.6,8.9,363.7
2438.0,1.3,1.5,5.4,8.0,374.07
2308.0,33.7,1.0,3.0,6.4,283.93
1793.0,3.2,2.5,7.0,8.0,368.36
1895.0,5.9,1.0,1.7,6.2,300.27
3014.0,3.9,2.5,0.8,6.7,432.2
1427.0,6.6,2.0,4.6,8.4,321.96
2250.0,1.1,1.0,3.6,7.6,402.87
1668.0,11.0,2.0,1.4,6.8,294.85
1657.0,1.1,1.0,8.6,5.5,250.9
2806.0,24.2,1.5,2.0,7.5,378.52
2515.0,4.0,2.5,2.6,6.6,387.0
2503.0,11.6,1.0,9.8,6.6,329.78
3048.0,31.8,3.0,7.3,8.8,464.16
1823.0,15.8,1.0,1.8,5.1,284.46
2375.0,11.4,1.5,3.8,6.2,305.38
1597.0,5.9,2.5,1.6,8.7,358.91
2058.0,6.1,2.0,9.3,6.2,329.9
1716.0,16.6,1.0,9.3,5.6,264.94
1880.0,50.0,2.0,16.0,6.3,312.16
2294.0,16.3,1.5,20.1,8.4,359.32
1303.0,12.2,3.0,3.0,7.3,329.17
4175.0,19.7,2.0,8.3,6.3,413.89
1209.0,9.4,2.5,0.7,7.4,305.98
1112.0,0.9,3.0,5.8,8.6,349.46
2873.0,12.4,2.0,6.8,6.4,378.71
2482.0,47.4,3.5,2.1,5.9,396.19
2321.0,2.9,2.0,2.8,7.7,367.1
2325.0,17.6,3.5,9.4,6.7,394.25
1799.0,3.4,1.0,7.0,5.8,298.89
1263.0,11.5,2.5,14.6,6.4,283.07
1864.0,1.5,2.0,13.5,5.7,322.83
1379.0,9.0,2.0,0.9,7.8,321.04
2671.0,21.2,2.5,3.2,7.4,418.29
1705.0,6.4,2.5,1.9,8.9,380.21
1300.0,16.4,1.0,8.5,8.3,262.96
1590.0,23.8,1.5,6.2,5.9,244.82
2133.0,39.3,2.5,2.1,5.4,321.17
1443.0,4.0,2.5,2.4,5.5,268.78
1301.0,7.6,3.5,11.6,6.5,335.24
1993.0,2.5,2.5,3.5,8.3,390.86
1994.0,50.0,3.5,0.5,9.2,408.29
1476.0,39.3,2.5,1.9,7.2,291.99
1498.0,11.6,1.5,16.7,5.7,262.17
1984.0,27.7,1.0,10.0,7.9,307.12
1013.0,11.0,2.5,1.5,8.2,305.5
1030.0,14.7,2.5,5.8,8.8,305.38
1356.0,1.4,1.0,9.6,6.9,280.86
1660.0,21.1,2.0,0.9,3.8,275.17
2047.0,2.0,3.5,10.3,3.6,355.17
3262.0,26.2,2.0,6.9,5.7,342.52
2548.0,22.9,2.0,2.7,6.7,379.41
1696.0,18.5,2.0,7.7,8.5,331.32
1794.0,0.6,1.5,6.2,6.1,308.23
1211.0,5.4,2.0,6.6,8.5,287.14
1795.0,4.6,2.0,5.6,7.7,346.6
1611.0,6.7,1.0,2.3,6.3,280.26
2057.0,1.4,2.5,2.7,7.9,422.48
1299.0,41.5,2.0,4.1,7.5,267.6
2226.0,12.1,3.0,5.2,8.4,398.21
3338.0,5.5,3.0,8.0,7.3,477.21
1731.0,7.6,1.5,16.9,7.8,321.3
2123.0,8.9,2.5,6.0,4.7,319.42
2383.0,13.8,2.0,7.9,8.2,382.13
1540.0,10.9,3.0,9.2,7.3,339.34
1978.0,37.8,1.5,8.3,8.0,315.64
1817.0,10.3,2.5,2.2,6.0,344.61
1880.0,50.0,2.5,12.3,8.5,347.91
1327.0,28.6,1.5,11.0,4.8,212.19
1826.0,3.5,1.0,5.5,6.5,321.45
2207.0,40.0,2.5,2.4,8.5,342.89
3231.0,1.9,2.5,5.1,8.2,502.16
2654.0,25.5,2.0,1.1,5.6,317.84
4278.0,7.2,2.5,13.4,6.5,455.46
1330.0,31.6,2.0,2.9,7.6,282.84
2563.0,30.4,2.5,4.0,9.0,409.79
1946.0,24.6,1.5,12.8,8.5,336.3
4341.0,23.4,3.0,11.8,7.9,493.99
1309.0,5.5,1.5,6.4,6.9,278.48
1292.0,1.3,2.0,14.7,5.2,259.86
1423.0,7.7,1.0,2.2,4.8,247.37
773.0,2.9,1.0,6.4,5.9,212.42
1465.0,17.8,2.0,2.2,6.4,285.86
1335.0,6.4,1.5,10.6,6.2,250.63
1920.0,50.0,3.0,10.3,5.5,304.05
2073.0,15.4,1.0,15.4,4.4,254.69
3829.0,25.9,2.0,5.0,5.6,407.9
2644.0,2.1,2.0,18.2,9.7,425.38
1435.0,29.7,1.0,2.0,8.8,277.63
1262.0,38.4,1.0,4.8,8.2,266.08
2201.0,10.0,2.0,2.1,8.5,380.08
1066.0,14.0,2.0,5.8,5.2,244.34
3762.0,21.7,2.0,2.3,9.0,464.66
2898.0,2.9,2.0,10.6,9.4,420.3
1499.0,10.5,2.0,7.1,7.7,298.38
911.0,7.6,1.0,1.9,5.0,198.11
3107.0,2.4,2.0,9.0,7.8,428.86
1727.0,6.9,3.5,14.0,5.8,346.28
2966.0,1.1,2.0,7.6,9.0,466.76
955.0,0.4,2.5,1.4,5.2,283.09
1423.0,2.2,2.0,4.4,8.5,339.11
1812.0,49.5,2.5,8.3,7.4,320.56
1842.0,12.0,2.5,4.1,7.3,347.8
1510.0,50.0,2.0,2.0,5.8,263.04
2320.0,8.5,4.0,11.4,7.3,457.73
1180.0,5.6,1.0,4.0,6.6,241.64
1708.0,10.6,1.0,14.0,3.7,243.81
1897.0,8.7,2.5,3.2,5.1,312.39
2221.0,1.7,3.0,3.8,7.9,407.85
2403.0,15.4,1.0,3.0,4.2,281.73
1153.0,3.7,1.5,4.4,5.9,242.37
979.0,14.5,1.0,7.0,5.7,216.37
3014.0,15.8,1.5,2.1,6.4,401.88
2065.0,2.5,2.5,1.7,7.3,374.07
1340.0,0.9,2.0,0.9,5.5,305.11
3363.0,22.8,2.0,0.8,5.2,349.22
1894.0,9.2,2.0,1.4,6.4,332.5
2898.0,0.9,1.0,3.2,5.9,358.1
1858.0,50.0,1.5,5.7,7.3,281.28
4123.0,0.9,2.5,6.7,3.3,390.73
3649.0,17.8,4.0,5.5,7.5,539.92
1637.0,50.0,3.0,13.0,7.7,343.78
2667.0,4.1,1.0,15.8,6.4,340.28
2341.0,2.3,3.0,4.0,7.8,416.92
3126.0,1.9,2.5,2.1,8.0,490.95
1229.0,5.4,2.5,18.9,7.8,293.52
2379.0,1.6,2.0,11.2,8.4,366.1
2761.0,17.7,2.0,10.6,7.2,376.66
895.0,1.0,2.0,3.1,6.8,260.64
1126.0,10.7,1.0,9.1,5.7,234.7
800.0,50.0,1.5,5.6,3.1,142.26
1623.0,25.2,1.5,4.7,8.6,316.86
2409.0,14.3,2.0,4.7,6.3,362.12
3298.0,5.5,2.5,7.2,8.3,444.16
1862.0,14.7,2.0,13.3,6.5,292.6
3468.0,11.2,1.0,20.0,8.4,412.65
1041.0,8.3,3.5,3.6,6.2,345.15
915.0,2.1,3.5,5.8,7.5,333.55
1768.0,32.7,2.5,4.6,6.8,306.94
2108.0,9.0,4.0,6.9,6.5,432.82
1785.0,3.2,2.0,4.2,6.1,310.02
791.0,6.9,3.5,2.8,5.7,300.34
1745.0,8.0,1.0,3.6,7.0,274.2
1073.0,26.4,2.0,3.2,7.8,301.06
2363.0,19.8,1.5,4.5,9.2,355.36
2094.0,22.0,1.5,1.5,6.0,299.77
1241.0,0.2,1.0,3.2,5.2,263.54
1472.0,8.1,2.5,6.8,4.3,299.09
1184.0,9.8,2.5,6.8,5.4,245.41
1763.0,0.3,2.0,6.0,6.8,373.94
2649.0,4.5,1.0,12.5,6.8,359.25
1219.0,21.4,3.0,7.0,7.5,317.84
2212.0,2.2,2.5,12.2,5.6,334.38
1462.0,11.5,2.0,20.0,7.5,298.13
1317.0,3.6,2.5,9.3,7.5,307.6
1732.0,0.2,1.5,1.5,5.8,341.6
1195.0,4.1,2.0,6.2,6.0,254.89
1449.0,50.0,3.5,5.6,3.7,281.24
1120.0,24.3,1.5,14.0,8.2,243.93
3967.0,48.1,2.0,4.6,6.5,398.9
1834.0,10.0,3.0,2.5,7.5,387.16
1367.0,1.7,2.5,3.4,6.5,330.67
1970.0,11.9,1.0,1.5,7.3,336.68
1729.0,9.1,1.0,17.9,7.9,269.31
1655.0,27.9,1.0,5.1,6.9,285.26
2312.0,1.5,2.5,1.7,7.2,442.27
2448.0,10.0,2.0,14.9,8.3,370.01
1462.0,2.4,1.0,16.5,7.3,311.85
1436.0,5.9,3.5,5.7,5.8,342.24
1620.0,20.1,2.0,1.4,5.3,257.27
720.0,9.7,1.5,3.4,6.5,212.34
986.0,7.1,2.0,4.2,5.5,257.8
3124.0,7.5,2.5,5.2,7.5,420.87
3491.0,9.2,1.0,1.9,3.6,320.67
1637.0,23.1,1.5,9.8,5.9,266.97
2277.0,33.4,3.0,0.5,7.2,391.38
2048.0,46.6,2.0,10.9,7.1,317.85
5000.0,23.2,2.0,12.5,7.6,499.78
2829.0,5.7,2.0,3.7,4.6,352.18
1718.0,17.5,1.0,4.8,7.3,281.27
1234.0,8.6,1.5,13.6,5.4,235.99
951.0,4.4,2.0,8.0,7.6,256.98
1961.0,27.6,1.5,3.8,6.1,307.52
1336.0,0.6,1.0,4.2,6.1,268.89
1024.0,34.8,3.0,7.3,6.8,294.61
1396.0,9.3,4.0,16.9,7.9,388.05
1173.0,15.2,2.5,4.3,6.0,274.64
3551.0,16.2,3.0,3.7,4.7,401.19
2573.0,33.8,1.5,5.2,6.9,320.23
1802.0,15.2,3.5,5.2,6.5,344.78
3268.0,14.3,1.5,6.4,6.9,370.44
1865.0,1.0,3.5,4.8,9.4,453.09
1281.0,11.0,4.0,11.4,7.4,379.21
3325.0,2.4,2.5,2.3,7.5,480.1
2243.0,20.1,4.0,6.9,3.6,361.83
1194.0,10.8,2.0,7.1,8.6,283.13
1675.0,17.1,1.5,2.5,6.1,257.96
1274.0,0.6,2.0,6.8,7.8,327.38
1040.0,1.3,2.0,7.2,5.8,285.7
2619.0,18.9,1.0,0.5,4.5,322.13
3881.0,1.1,2.5,2.1,6.5,490.85
1033.0,1.1,4.0,14.3,5.8,365.25
2265.0,0.2,1.5,3.1,6.2,383.79
1394.0,47.0,2.5,1.7,7.1,301.22
1488.0,20.1,3.5,0.7,8.5,400.72
1427.0,6.5,3.5,1.9,5.9,349.26
1280.0,5.3,3.5,4.6,8.4,358.92
1843.0,6.5,2.0,1.6,9.1,363.43
1297.0,22.4,4.0,8.1,5.2,335.17
2015.0,16.2,2.5,2.5,5.8,329.96
1772.0,3.1,1.5,6.4,7.2,348.89
1643.0,2.9,2.0,13.0,7.0,317.2
1258.0,1.6,2.5,12.5,8.0,345.66
1436.0,16.2,1.5,6.3,6.1,249.93
2446.0,21.7,2.5,1.8,7.9,388.75
2209.0,4.6,2.5,4.9,8.1,375.38
1223.0,0.3,1.5,6.5,6.1,268.08
1881.0,1.3,2.0,22.4,8.4,367.68
2442.0,50.0,2.5,0.7,6.1,351.25
927.0,5.3,2.0,4.9,8.8,302.82
2247.0,22.0,1.0,7.9,7.9,329.48
1387.0,14.7,1.0,5.5,9.1,288.74
2272.0,7.2,2.0,6.0,8.0,404.4
1332.0,3.5,3.5,2.6,5.4,343.75
878.0,1.9,1.5,9.7,9.4,301.67
943.0,14.3,2.5,5.2,7.9,274.77
1843.0,22.4,1.5,5.9,8.5,332.74
2006.0,15.5,2.0,10.4,5.1,300.57
1259.0,11.3,3.0,3.9,5.2,295.47
2334.0,0.6,2.5,12.0,7.7,371.17
930.0,50.0,1.0,1.5,4.1,172.7
1761.0,24.0,2.0,6.2,7.7,333.34
1114.0,5.2,1.0,2.5,6.0,251.69
1393.0,50.0,2.0,1.9,7.9,296.16
1843.0,13.8,2.5,16.7,7.2,302.88
1282.0,13.1,1.0,1.6,7.5,259.97
1550.0,20.7,1.5,5.3,5.3,255.39
2704.0,25.1,2.0,1.5,8.9,417.19
1435.0,16.0,3.5,11.5,9.1,398.38
2526.0,2.1,4.0,3.6,6.3,468.13
1151.0,6.2,1.0,10.4,7.9,267.93
2235.0,39.5,2.5,7.7,4.9,303.82
3218.0,3.8,2.0,20.3,7.2,395.88
673.0,7.0,2.0,1.2,7.0,211.09
1315.0,8.5,2.5,2.1,4.9,284.56
2277.0,8.7,3.5,10.0,6.4,403.99
1667.0,14.2,3.5,6.4,7.0,360.15
2097.0,43.0,2.0,4.2,5.7,271.98
1420.0,4.1,2.0,17.9,6.5,293.96
1872.0,1.9,2.5,5.0,8.6,386.44
1699.0,3.3,1.5,2.5,8.3,348.59
2885.0,32.7,2.0,10.5,6.2,375.69
2002.0,15.6,2.0,5.1,6.7,289.23
2069.0,5.1,2.5,5.4,7.6,364.22
1533.0,25.4,1.5,8.2,8.1,284.68
1488.0,29.6,1.5,8.4,7.7,297.11
